1693055283289|7|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT @@character_set_database, @@sql_mode|SELECT @@character_set_database, @@sql_mode
1693055283872|19|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|drop table if exists comment|drop table if exists comment
1693055283885|12|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|drop table if exists image|drop table if exists image
1693055283896|10|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|drop table if exists member|drop table if exists member
1693055283906|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|drop table if exists post|drop table if exists post
1693055283916|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|drop table if exists refresh_token_seq|drop table if exists refresh_token_seq
1693055283926|10|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|drop table if exists refresh_token|drop table if exists refresh_token
1693055283949|20|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|create table comment (id bigint not null auto_increment, create_date datetime(6), modified_date datetime(6), content varchar(255), delete_yn varchar(255), like_number bigint, memeber_id bigint, post_id bigint, primary key (id)) engine=InnoDB|create table comment (id bigint not null auto_increment, create_date datetime(6), modified_date datetime(6), content varchar(255), delete_yn varchar(255), like_number bigint, memeber_id bigint, post_id bigint, primary key (id)) engine=InnoDB
1693055283965|15|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|create table image (id bigint not null auto_increment, create_date datetime(6), modified_date datetime(6), image_code varchar(255), original_file_name varchar(255), stored_file_name varchar(255), primary key (id)) engine=InnoDB|create table image (id bigint not null auto_increment, create_date datetime(6), modified_date datetime(6), image_code varchar(255), original_file_name varchar(255), stored_file_name varchar(255), primary key (id)) engine=InnoDB
1693055283981|16|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|create table member (id bigint not null auto_increment, create_date datetime(6), modified_date datetime(6), birth_day varchar(255), delete_yn varchar(255), intro varchar(255), member_email varchar(255), nickname varchar(255), original_file_name varchar(255), password varchar(255), phone_number varchar(255), social_id integer not null, social_provider varchar(255), stored_file_name varchar(255), primary key (id)) engine=InnoDB|create table member (id bigint not null auto_increment, create_date datetime(6), modified_date datetime(6), birth_day varchar(255), delete_yn varchar(255), intro varchar(255), member_email varchar(255), nickname varchar(255), original_file_name varchar(255), password varchar(255), phone_number varchar(255), social_id integer not null, social_provider varchar(255), stored_file_name varchar(255), primary key (id)) engine=InnoDB
1693055283998|15|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|create table post (id bigint not null auto_increment, create_date datetime(6), modified_date datetime(6), content varchar(255), delete_yn varchar(255), like_number bigint, image_id bigint, member_id bigint, primary key (id)) engine=InnoDB|create table post (id bigint not null auto_increment, create_date datetime(6), modified_date datetime(6), content varchar(255), delete_yn varchar(255), like_number bigint, image_id bigint, member_id bigint, primary key (id)) engine=InnoDB
1693055284015|15|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|create table refresh_token_seq (next_val bigint) engine=InnoDB|create table refresh_token_seq (next_val bigint) engine=InnoDB
1693055284017|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|insert into refresh_token_seq values ( 1 )|insert into refresh_token_seq values ( 1 )
1693055284032|15|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|create table refresh_token (id bigint not null, refresh_token varchar(255), time_to_live bigint, primary key (id)) engine=InnoDB|create table refresh_token (id bigint not null, refresh_token varchar(255), time_to_live bigint, primary key (id)) engine=InnoDB
1693055307321|6|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT @@character_set_database, @@sql_mode|SELECT @@character_set_database, @@sql_mode
1693055307890|12|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|drop table if exists comment|drop table if exists comment
1693055307902|11|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|drop table if exists image|drop table if exists image
1693055307913|10|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|drop table if exists member|drop table if exists member
1693055307924|10|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|drop table if exists post|drop table if exists post
1693055307934|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/stargram?useSSL=false&&allowPublicKeyRetrieval=true&characterEncoding=UTF-8&serverTimezone=UTC|drop table if exists refresh_token_seq|drop table if exists refresh_token_seq
